day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std
152,9.965,499,0,69.93028671469895,1.435,5,0,1.22198249006692,488.6,500,1,69.73517745639118
153,9.965,499,0,69.93028671469895,1.39,5,0,1.1979463163616402,488.645,500,1,69.74122285871643
154,9.965,499,0,69.93028671469895,1.33,5,0,1.1908782283566484,488.705,500,1,69.74971749370931
155,9.965,499,0,69.93028671469895,1.275,5,0,1.1985648872483807,488.76,500,1,69.75774591812645
156,9.965,499,0,69.93028671469895,1.21,5,0,1.141232693319599,488.825,500,1,69.76611591344499
157,9.965,499,0,69.93028671469895,1.165,5,0,1.0971754508050418,488.87,500,1,69.77186874623402
158,9.965,499,0,69.93028671469895,1.145,5,0,1.076927977789942,488.89,500,1,69.77442404818748
159,9.965,499,0,69.93028671469895,1.11,5,0,1.050436616568147,488.925,500,1,69.77904377210066
160,9.965,499,0,69.93028671469895,1.045,4,0,0.9837754166230008,488.99,500,1,69.78740077214987
161,9.965,499,0,69.93028671469895,0.975,4,0,0.8878719406054982,489.06,500,1,69.79615977686731
162,9.965,499,0,69.93028671469895,0.955,4,0,0.8927260492418573,489.08,500,1,69.79909143985434
163,9.965,499,0,69.93028671469895,0.92,4,0,0.8817524806803376,489.115,500,1,69.80397373175629
164,9.965,499,0,69.93028671469895,0.865,3,0,0.8605099574872297,489.17,500,1,69.81159930115427
165,9.965,499,0,69.93028671469895,0.84,3,0,0.853252718135152,489.195,500,1,69.81509660215215
166,9.965,499,0,69.93028671469895,0.815,3,0,0.8332143968726052,489.22,500,1,69.8184407829825
167,9.965,499,0,69.93028671469895,0.79,3,0,0.8119088495018993,489.245,500,1,69.82177580729685
168,9.965,499,0,69.93028671469895,0.76,3,0,0.790903052333821,489.275,500,1,69.8258377183212
169,9.965,499,0,69.93028671469895,0.745,3,0,0.7829688378249964,489.29,500,1,69.82789970985414
170,9.965,499,0,69.93028671469895,0.73,3,0,0.7681472848720364,489.305,500,1,69.82988643984038
171,9.965,499,0,69.93028671469895,0.695,3,0,0.7515311004708152,489.34,500,1,69.83472520330487
172,9.965,499,0,69.93028671469895,0.67,3,0,0.737440909820839,489.365,500,1,69.83816018546344
173,9.965,499,0,69.93028671469895,0.635,3,0,0.7101383544155745,489.4,500,1,69.84289620823128
174,9.965,499,0,69.93028671469895,0.615,3,0,0.7065913647815969,489.42,500,1,69.84572806294754
175,9.965,499,0,69.93028671469895,0.595,3,0,0.695263949733477,489.44,500,1,69.84848210420401
176,9.965,499,0,69.93028671469895,0.57,3,0,0.6836937808183194,489.465,500,1,69.85195237970291
177,9.965,499,0,69.93028671469895,0.555,3,0,0.6702395881531008,489.48,500,1,69.85397259596041
178,9.965,499,0,69.93028671469895,0.525,3,0,0.6645170536358447,489.51,500,1,69.85821894214627
179,9.965,499,0,69.93028671469895,0.51,3,0,0.6573129403165116,489.525,500,1,69.86030119758347
180,9.965,499,0,69.93028671469895,0.495,3,0,0.6418996618470809,489.54,500,1,69.86230822519943
181,9.965,499,0,69.93028671469895,0.485,3,0,0.6338642753760383,489.55,500,1,69.86366838925666
182,9.965,499,0,69.93028671469895,0.48,3,0,0.6337255243407868,489.555,500,1,69.86438388534171
183,9.965,499,0,69.93028671469895,0.46,3,0,0.6327732690705663,489.575,500,1,69.86724220021367
184,9.965,499,0,69.93028671469895,0.44,3,0,0.6311829844023009,489.595,500,1,69.87009464447675
185,9.965,499,0,69.93028671469895,0.43,3,0,0.6139909808972078,489.605,500,1,69.87137482617975
186,9.965,499,0,69.93028671469895,0.41,2,0,0.5947002116264487,489.625,500,1,69.87407463811357
187,9.965,499,0,69.93028671469895,0.39,2,0,0.5827503667521358,489.645,500,1,69.8768405066799
188,9.965,499,0,69.93028671469895,0.375,2,0,0.5709684974896847,489.66,500,1,69.87889308290781
189,9.965,499,0,69.93028671469895,0.37,2,0,0.5698452580222566,489.665,500,1,69.87960051287638
190,9.965,499,0,69.93028671469895,0.365,2,0,0.5597693351218102,489.67,500,1,69.88023566562592
191,9.965,499,0,69.93028671469895,0.355,2,0,0.5572500679147152,489.68,500,1,69.88164869349178
192,9.965,499,0,69.93028671469895,0.345,2,0,0.5545381527127508,489.69,500,1,69.88306025463369
193,9.965,499,0,69.93028671469895,0.33,2,0,0.5501027770577358,489.705,500,1,69.8851748464335
194,9.965,499,0,69.93028671469895,0.32,2,0,0.5281997490290695,489.715,500,1,69.88643893298376
195,9.965,499,0,69.93028671469895,0.305,2,0,0.5131193401991707,489.73,500,1,69.88847612788096
196,9.965,499,0,69.93028671469895,0.295,2,0,0.5091869566121265,489.74,500,1,69.88988036106815
197,9.965,499,0,69.93028671469895,0.28,2,0,0.5028561639356132,489.755,500,1,69.89198396175739
198,9.965,499,0,69.93028671469895,0.275,2,0,0.49048739988631324,489.76,500,1,69.89261253116926
199,9.965,499,0,69.93028671469895,0.26,2,0,0.4727764672016771,489.775,500,1,69.89463984020492
200,9.965,499,0,69.93028671469895,0.255,2,0,0.4701918778648248,489.78,500,1,69.89533884287133
