day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T
65,22.22,34,11,4.581640379976212,95.24,118,79,7.90391274842365,382.54,394,357,7.481160010455638,0.9867914267434421,0.9937619961612284,0.9811260396673065,0.002757377250272432,0.8495680384420775,0.8939484768102152,0.8038120785931239,0.02031488635052188,0.03,5
66,21.24,33,11,4.2453335726250225,92.32,112,76,7.710157625641963,386.44,397,364,7.281959816938711,0.987831094049904,0.9940818937939859,0.9832053742802304,0.0024138421212458955,0.8548101784666325,0.8997460796388044,0.8098191588647332,0.01921191838128505,0.03,5
67,20.2,33,11,4.261838254336085,89.48,108,74,8.127152776027897,390.32,405,369,7.59011171975534,0.9888451695457454,0.9945617402431222,0.9840051183621241,0.0024064701649662936,0.8599302039970499,0.9084479793010106,0.8050347565684027,0.021459798662754444,0.03,5
68,19.08,31,11,4.039801975344831,87.54,104,70,7.714841249838143,393.38,410,374,7.2164494633540395,0.9896896992962252,0.9950415866922585,0.9846449136276392,0.0023583438779607177,0.8632748737346687,0.9130351115479872,0.8043772066317059,0.022835855321541882,0.03,5
69,18.2,30,11,4.199125273342592,84.72,102,65,7.756603506637663,397.08,413,377,7.34524697074404,0.9905086372360844,0.9958413307741523,0.9856046065259118,0.00237585725005004,0.867317948185999,0.9115855572952387,0.8004189190053417,0.025192685860995725,0.03,5
70,17.02,29,10,4.012683971241845,82.3,99,64,7.293413299067892,400.68,416,381,7.175468412499319,0.9914459373000639,0.996001279590531,0.986724248240563,0.002291426797671766,0.8726801565027293,0.912352254072394,0.8202752285132805,0.02440727905959324,0.03,5
71,16.26,26,10,3.8851365116667034,79.86,99,64,7.629186706059724,403.88,418,383,7.713333274537114,0.9921753039027511,0.9963211772232885,0.9873640435060781,0.0021883029082436244,0.8779019483834243,0.9268865875935581,0.8250231709891546,0.025468668864768902,0.03,5
72,15.54,25,10,3.6152172712531887,77.46,96,60,7.690996591562669,407.0,422,386,7.798482322260669,0.9927223288547665,0.9969609724888036,0.9881637875879719,0.0020787695678035796,0.8811161358878618,0.9356673875266693,0.8276686736346573,0.027338191331852203,0.03,5
73,14.84,25,10,3.582041374434872,74.68,93,59,7.443501480198302,410.48,423,389,7.675138767608098,0.993448496481126,0.9980806142034548,0.9888035828534869,0.0020839647093725613,0.8891050265445092,0.953491402116402,0.8328566026968931,0.026442120180992696,0.03,5
74,14.18,23,9,3.330073235696483,72.32,91,58,7.316294367048536,413.5,426,393,7.365806272283852,0.9939955214331414,0.9980806142034548,0.989443378119002,0.0019036007487269067,0.8935576768845475,0.953491402116402,0.8368566026968931,0.026094458847468464,0.03,5
75,13.48,22,8,3.339558812361969,69.92,88,57,6.648123872222008,416.6,428,397,6.794355400339487,0.994571337172105,0.9984005118362124,0.9902431222008957,0.0017996066109653244,0.8989596578746257,0.9572126690182245,0.8425454957013739,0.024738475846327098,0.03,5
76,12.9,20,8,3.0321407538273037,67.5,84,52,6.559772270810778,419.6,432,401,6.718843437888495,0.9949552143314139,0.9984005118362124,0.9905630198336532,0.0017087671277826908,0.9024959538352156,0.9572126690182245,0.856537265248699,0.023412995331117695,0.03,5
77,12.34,20,7,3.061345575836527,64.96,83,53,6.353401788468465,422.7,434,403,6.5877127429536,0.9953518873960333,0.9985604606525912,0.9910428662827895,0.0017020930917262082,0.9060278477267961,0.9606848912404468,0.8633825372712653,0.02463310453560289,0.03,5
78,11.88,20,7,3.000952229828773,62.92,81,51,5.9482118733108305,425.2,436,405,6.253162465211226,0.9956493921944977,0.9987204094689699,0.9918426103646834,0.0016365967077479064,0.9085247022304954,0.9646531452087008,0.8657792207792206,0.0244969005929894,0.03,5
79,11.4,20,7,2.8784916685156974,60.88,77,49,5.91311237498356,427.72,439,410,6.452463538392579,0.9960172744721689,0.9990403071017274,0.9920025591810621,0.0015755617051301804,0.912746940452206,0.9715975896531452,0.8597645502645502,0.024586718347786973,0.03,5
80,10.92,19,6,2.7689237576195924,58.96,76,46,5.979420489291173,430.12,443,411,6.444868232214872,0.9963531669865643,0.9990403071017274,0.9932821497120922,0.001467023208049933,0.9166569337639793,0.9715975896531452,0.8597645502645502,0.02451736123091138,0.03,5
81,10.38,18,5,2.7396558699432094,57.1,74,45,6.2702732421013545,432.52,444,414,6.590778963592896,0.9967210492642354,0.9992002559181062,0.9936020473448497,0.0013817064327410517,0.9210903439557157,0.9736956521739131,0.8699668521814465,0.024448726384231748,0.03,5
82,9.68,16,2,2.8098950521472563,55.7,70,44,5.908313064260061,434.62,444,417,6.308044750271551,0.9970537428023033,0.9998400511836213,0.9936020473448497,0.001378240735010637,0.9253470861497568,0.976227219282775,0.8699668521814465,0.025109640889340354,0.03,5
83,9.2,15,2,2.7105237087157534,53.84,69,40,6.192029109249723,436.96,448,419,6.580614697421376,0.997386436340371,0.9998400511836213,0.9937619961612284,0.0013609026283758659,0.9307579424113712,0.976227219282775,0.8702780447036443,0.025286420328056867,0.03,5
84,8.86,14,2,2.6419689627245813,52.2,67,37,6.401530429259451,438.94,451,421,6.861338002436065,0.9975815738963532,0.9998400511836213,0.9939219449776072,0.0012944545174100723,0.9339985118864393,0.976227219282775,0.8731516079220351,0.02558742212139374,0.03,5
85,8.44,14,2,2.6661904336658755,50.22,66,35,6.19179839359606,441.34,453,422,6.632049580081029,0.9978119001919386,1.0,0.9948816378758797,0.001214459377265415,0.9378197565574823,1.0,0.8752253898635478,0.0269713711824417,0.03,5
