day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
122,4.99,499,0,49.900000000000006,4.68,11,0,2.1783136838046318,490.33,500,1,49.472991305224994,0.0743,14
123,4.99,499,0,49.900000000000006,4.5,11,0,2.1719050893562817,490.51,500,1,49.49104500163172,0.0743,14
124,4.99,499,0,49.900000000000006,4.35,11,0,2.1337830965283944,490.66,500,1,49.50466154971181,0.0743,14
125,4.99,499,0,49.900000000000006,4.2,11,0,2.04494943258218,490.81,500,1,49.51618345796073,0.0743,14
126,4.99,499,0,49.900000000000006,3.92,10,0,1.96782195137752,491.09,500,1,49.54155382661664,0.0743,14
127,4.99,499,0,49.900000000000006,3.77,10,0,1.9428969310924564,491.24,500,1,49.555829142697256,0.0743,14
128,4.99,499,0,49.900000000000006,3.69,10,0,1.9368567684302682,491.32,500,1,49.56372899937243,0.0743,14
129,4.99,499,0,49.900000000000006,3.56,9,0,1.8385325725159234,491.45,500,1,49.573203701723024,0.0743,14
130,4.99,499,0,49.900000000000006,3.32,9,0,1.7971919735796145,491.69,500,1,49.59608468580575,0.0743,14
131,4.99,499,0,49.900000000000006,3.16,8,0,1.7039466961834058,491.85,500,1,49.609052407883,0.0743,14
132,4.99,499,0,49.900000000000006,3.08,8,0,1.6918103387266026,491.93,500,1,49.616764639921186,0.0743,14
133,4.99,499,0,49.900000000000006,2.94,8,0,1.674647558277396,492.07,500,1,49.63040266496805,0.0743,14
134,4.99,499,0,49.900000000000006,2.75,8,0,1.6414763002993507,492.26,500,1,49.6485873134596,0.0743,14
135,4.99,499,0,49.900000000000006,2.64,8,0,1.6423683318225961,492.37,500,1,49.65978292747604,0.0743,14
136,4.99,499,0,49.900000000000006,2.56,8,0,1.647281200504441,492.45,500,1,49.66806485727692,0.0743,14
137,4.99,499,0,49.900000000000006,2.44,7,0,1.571976816340213,492.57,500,1,49.6778012737474,0.0743,14
138,4.99,499,0,49.900000000000006,2.32,7,0,1.5300359802991892,492.69,500,1,49.688666065346695,0.0743,14
139,4.99,499,0,49.900000000000006,2.16,7,0,1.3236008431242372,492.85,500,1,49.69896753190527,0.0743,14
140,4.99,499,0,49.900000000000006,2.05,7,0,1.3055824196677337,492.96,500,1,49.70964583346867,0.0743,14
141,4.99,499,0,49.900000000000006,1.98,7,0,1.2869194287761823,493.03,500,1,49.71625651249461,0.0743,14
142,4.99,499,0,49.900000000000006,1.92,7,0,1.3079400103625052,493.09,500,1,49.72288764297137,0.0743,14
143,4.99,499,0,49.900000000000006,1.81,7,0,1.29251926894962,493.2,500,1,49.733633925486906,0.0743,14
144,4.99,499,0,49.900000000000006,1.73,7,0,1.301553073846935,493.28,500,1,49.74197666382231,0.0743,14
145,4.99,499,0,49.900000000000006,1.66,7,0,1.2888018082739103,493.35,500,1,49.74873735771462,0.0743,14
146,4.99,499,0,49.900000000000006,1.57,7,0,1.265350193073487,493.44,500,1,49.75725316397843,0.0743,14
147,4.99,499,0,49.900000000000006,1.52,7,0,1.259148341322239,493.49,500,1,49.76216058676136,0.0743,14
148,4.99,499,0,49.900000000000006,1.49,7,0,1.2512216252748973,493.52,500,1,49.7649992616814,0.0743,14
149,4.99,499,0,49.900000000000006,1.42,7,0,1.2158880862907733,493.59,500,1,49.77121292839502,0.0743,14
150,4.99,499,0,49.900000000000006,1.36,7,0,1.2269696595493083,493.65,500,1,49.77756076341585,0.0743,14
151,4.99,499,0,49.900000000000006,1.29,7,0,1.2001262559843564,493.72,500,1,49.78399402022763,0.0743,14
152,4.99,499,0,49.900000000000006,1.25,7,0,1.1752927853573898,493.76,500,1,49.78745126063698,0.0743,14
153,4.99,499,0,49.900000000000006,1.15,7,0,1.131504763712036,493.86,500,1,49.79655985846184,0.0743,14
154,4.99,499,0,49.900000000000006,1.13,7,0,1.1250589210159507,493.88,500,1,49.79843817274235,0.0743,14
155,4.99,499,0,49.900000000000006,1.08,6,0,1.0510216290098242,493.93,500,1,49.801881226891155,0.0743,14
156,4.99,499,0,49.900000000000006,1.04,6,0,1.033968524226395,493.97,500,1,49.80557248446253,0.0743,14
157,4.99,499,0,49.900000000000006,1.0,6,0,1.0444659357341868,494.01,500,1,49.80983939956142,0.0743,14
158,4.99,499,0,49.900000000000006,0.97,6,0,1.0294158390548351,494.04,500,1,49.81256180052692,0.0743,14
159,4.99,499,0,49.900000000000006,0.96,6,0,1.0142420168218573,494.05,500,1,49.813262401805325,0.0743,14
160,4.99,499,0,49.900000000000006,0.92,6,0,1.0217829534888534,494.09,500,1,49.81746377496246,0.0743,14
161,4.99,499,0,49.900000000000006,0.88,6,0,1.027697239541693,494.13,500,1,49.82163235488226,0.0743,14
162,4.99,499,0,49.900000000000006,0.85,6,0,1.0087996667707457,494.16,500,1,49.824281127769325,0.0743,14
163,4.99,499,0,49.900000000000006,0.79,6,0,0.977473552304381,494.22,500,1,49.82972623004884,0.0743,14
164,4.99,499,0,49.900000000000006,0.77,6,0,0.9832434473555757,494.24,500,1,49.83186275320787,0.0743,14
165,4.99,499,0,49.900000000000006,0.76,6,0,0.9859620743827888,494.25,500,1,49.83292793997465,0.0743,14
