day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,V,T,network
27,3.3333333333333335,0,499,40.6335556122589,227.86,0,308,25.276274121096563,268.8066666666667,1,307,27.762778350904053,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
28,3.3333333333333335,0,499,40.6335556122589,218.80666666666667,0,298,24.405766264938674,277.86,1,317,28.069200202357013,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
29,3.33,0,499,40.63378868144953,210.05333333333334,0,292,23.743835437713084,286.6166666666667,1,328,28.532380048985654,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
30,3.33,0,499,40.63378868144953,201.59333333333333,0,280,22.88683711801269,295.07666666666665,1,333,28.819426086502958,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
31,3.3266666666666667,0,499,40.634021474945214,193.52333333333334,0,266,21.959740958523174,303.15,1,342,29.03165438830069,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
32,3.3266666666666667,0,499,40.634021474945214,185.88666666666666,0,258,21.299123560302004,310.7866666666667,1,348,29.41402906622254,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
33,3.3266666666666667,0,499,40.634021474945214,178.36,0,246,20.603366935940098,318.31333333333333,1,353,29.769715182194567,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
34,3.3266666666666667,0,499,40.634021474945214,171.19,0,236,20.082952553785315,325.48333333333335,1,359,30.21300726921636,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
35,3.3266666666666667,0,499,40.634021474945214,164.25,0,226,19.46287521682461,332.42333333333335,1,364,30.571000569301784,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
36,3.3266666666666667,0,499,40.634021474945214,157.72333333333333,0,220,18.857149728289784,338.95,1,372,30.90141027834548,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
37,3.3266666666666667,0,499,40.634021474945214,151.37666666666667,0,216,18.40790478982857,345.2966666666667,1,378,31.312247524555275,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
38,3.3266666666666667,0,499,40.634021474945214,145.36333333333334,0,210,17.800210124898083,351.31,1,382,31.6000386308557,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
39,3.3233333333333333,0,499,40.63425399275076,139.59666666666666,0,197,17.13708223455602,357.08,1,385,31.841270205416013,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
40,3.3233333333333333,0,499,40.63425399275076,134.41333333333333,0,189,16.746461380985494,362.2633333333333,1,389,32.174492725803226,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
41,3.3233333333333333,0,499,40.63425399275076,129.27666666666667,0,180,16.22665925127779,367.4,1,392,32.43939551334001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
42,3.3233333333333333,0,499,40.63425399275076,124.26333333333334,0,170,15.724658081970233,372.41333333333336,1,401,32.70639360785077,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
43,3.3233333333333333,0,499,40.63425399275076,119.34666666666666,0,162,15.032400532676236,377.33,1,403,32.88168361043659,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
44,3.3233333333333333,0,499,40.63425399275076,114.54666666666667,0,155,14.620545706118659,382.13,1,410,33.181366915301936,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
45,3.3233333333333333,0,499,40.63425399275076,109.84666666666666,0,153,14.2911608983185,386.83,1,413,33.50856377336764,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
46,3.3233333333333333,0,499,40.63425399275076,105.44,0,148,14.028151342936617,391.2366666666667,1,417,33.83434940344013,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
47,3.3233333333333333,0,499,40.63425399275076,101.17,0,141,13.74837539809546,395.50666666666666,1,421,34.138954038336614,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
48,3.3233333333333333,0,499,40.63425399275076,96.94333333333333,0,138,13.34116729167919,399.73333333333335,1,423,34.38930507051572,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,18,Erdos-Renyi
