day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
113,0.08639999999999994,0.998,0.0,0.2715831138990457,0.20427999999999996,0.324,0.0,0.06749634608402055,0.7093200000000001,0.826,0.002,0.21299137090885317,0.9990437986566885,1.0,0.9948445303689383,0.0009635464462219371,0.9294245589831965,1.0,0.8461565785734584,0.03941858594595923,0.9983619068242998,1.0,0.9919322307382009,0.0016910877001753337,0.894986825806084,1.0,0.725,0.07335012238727437
114,0.08615999999999993,0.998,0.0,0.27165249109545697,0.20051999999999995,0.32,0.0,0.066496966326384,0.7133200000000002,0.826,0.002,0.2141792535542629,0.9991016510867083,1.0,0.9948445303689383,0.0009427159844843129,0.9324339429767807,1.0,0.8461565785734584,0.03988568385060886,0.9984667190167964,1.0,0.9919322307382009,0.0016440365598659802,0.8983218832009082,1.0,0.725,0.07245747569582633
115,0.08595999999999991,0.998,0.0,0.2717085743729025,0.19676000000000005,0.314,0.0,0.06538163007313604,0.7172799999999999,0.828,0.002,0.21529278024237083,0.9991564266961113,1.0,0.9951667472208796,0.0008605681541812859,0.9346122139030972,1.0,0.8573221559155064,0.037971306700393885,0.9986197628911903,1.0,0.9919322307382009,0.0014890879708014159,0.9059040856576855,1.0,0.725,0.07109298729026908
116,0.08571999999999992,0.998,0.0,0.2717781237911333,0.19284000000000007,0.31,0.0,0.06416953311028402,0.7214400000000002,0.83,0.002,0.21641043394061973,0.9991983917450485,1.0,0.9961333977767037,0.000763845819711263,0.933196327173933,1.0,0.865909090909091,0.03885663369721389,0.9987484094390703,1.0,0.9931423961274708,0.0013380010800701763,0.9103550578177411,1.0,0.75,0.06826522534393878
117,0.0855199999999999,0.998,0.0,0.271837454433073,0.18952000000000002,0.306,0.0,0.06330175224063464,0.7249600000000003,0.834,0.002,0.21746226132835283,0.9992562409919447,1.0,0.9964556146286451,0.0007214174805216056,0.936094840101517,1.0,0.865909090909091,0.03763828879352455,0.9987975747837459,1.0,0.9931423961274708,0.0013403851269383565,0.9119449361933338,1.0,0.75,0.0679273368128206
118,0.08527999999999991,0.998,0.0,0.2719092765866541,0.18575999999999998,0.3,0.0,0.06208965210048436,0.7289600000000003,0.838,0.002,0.21856535565793028,0.9993011757787609,1.0,0.9964556146286451,0.0007048398682848767,0.9373034302294516,1.0,0.8666666666666667,0.03962048985537871,0.9988539249614027,1.0,0.9931423961274708,0.0012986458411130162,0.9108701076484199,1.0,0.75,0.0722580262590671
119,0.08507999999999992,0.998,0.0,0.2719703495243703,0.1824000000000001,0.29,0.0,0.060681840070038365,0.73252,0.842,0.002,0.21946458409836747,0.999339835437234,1.0,0.9964556146286451,0.0007038175869914792,0.9383901300531656,1.0,0.8666666666666667,0.038578697114404224,0.9989510087182238,1.0,0.9931423961274708,0.0012422528952543775,0.91424600590258,1.0,0.75,0.07245763445835293
120,0.08487999999999993,0.998,0.0,0.27202945818872076,0.17867999999999998,0.288,0.0,0.05992050516121763,0.7364400000000002,0.848,0.002,0.22068475623081232,0.9993722967022945,1.0,0.9964556146286451,0.0007050275990984561,0.9394307841390324,1.0,0.8666666666666667,0.03887554478692829,0.9990133452840166,1.0,0.9931423961274708,0.0012206899036024425,0.9150926818822347,1.0,0.75,0.07323394619192271
121,0.08475999999999993,0.998,0.0,0.27206328495482107,0.17544,0.282,0.0,0.05882945257093523,0.7398000000000002,0.85,0.002,0.22160868250875307,0.9994108886480039,1.0,0.9964556146286451,0.0006486889713739761,0.9407993023691634,1.0,0.8666666666666667,0.0379622340548735,0.9990851054716496,1.0,0.9935457845905608,0.0011337339366595711,0.920154477529919,1.0,0.7523809523809524,0.06756525513945781
122,0.08435999999999994,0.998,0.0,0.27217482077007876,0.17236,0.28,0.0,0.0579538028545679,0.7432799999999999,0.854,0.002,0.222592795600085,0.9994979195426827,1.0,0.9977444820364105,0.0004974739817304686,0.9430587328379179,1.0,0.8666666666666667,0.03841402788134182,0.9992051448517063,1.0,0.9959661153691004,0.0008934355919186292,0.9267104435435403,1.0,0.7523809523809524,0.06829109921796313
