day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
135,0.04147999999999999,0.998,0.0,0.19723757972846567,0.037000000000000026,0.07,0.0,0.012988220723063664,0.9215200000000004,0.972,0.002,0.18988398606324153,0.9699553790466128,1.0,0.9435343757756267,0.011250959506929144,0.9350677452644895,1.0,0.5,0.1482839297371578,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9507445931797092,1.0,0.9076329679252944,0.01832774415234782,0.875268817204301,1.0,0.2,0.27741768775026315
136,0.041439999999999984,0.998,0.0,0.19724553847674117,0.03592000000000002,0.068,0.0,0.012942321023270427,0.9226400000000001,0.978,0.002,0.19012324252163068,0.9704506949426852,1.0,0.9461404815090593,0.011551766037822705,0.8783258895000587,1.0,0.42857142857142855,0.1791393382476129,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9515589228787256,1.0,0.9118960617133577,0.018821406967199306,0.7634408602150535,1.0,0.2,0.34203690928294267
137,0.041439999999999984,0.998,0.0,0.19724553847674117,0.034800000000000025,0.066,0.0,0.012434317226850828,0.92376,0.978,0.002,0.1903284550883722,0.9713901725281506,1.0,0.9511044924298834,0.010792017976969537,0.9237156775556856,1.0,0.5294117647058824,0.15804259891284667,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9530970839975287,1.0,0.9200162403572879,0.017580942102727582,0.8623655913978494,1.0,0.2,0.280705715874706
138,0.041399999999999985,0.998,0.0,0.1972530747801009,0.03408000000000002,0.064,0.0,0.012361625941532424,0.9245200000000001,0.978,0.002,0.19048372794610277,0.9722325607135438,1.0,0.9476296847853065,0.011033208632026737,0.9228878648233487,1.0,0.5,0.15643621471428087,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9544813707121433,1.0,0.9143321153065368,0.01797764229985996,0.8580645161290322,1.0,0.2,0.2837536414431682
139,0.04135999999999998,0.998,0.0,0.19726143018019182,0.03288000000000002,0.058,0.0,0.011578727856526822,0.9257599999999999,0.978,0.002,0.1907003804454538,0.9728689448571726,1.0,0.9512285927029039,0.010556979381451928,0.8875474183232069,1.0,0.5294117647058824,0.18368923137962648,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9555234462082121,1.0,0.9202192448233861,0.017201445384599875,0.7955555555555555,1.0,0.2,0.33168943297746833
140,0.04135999999999998,0.998,0.0,0.19726143018019182,0.03172000000000002,0.058,0.0,0.011605839487261644,0.9269200000000001,0.98,0.002,0.1909491694303027,0.9737480255471996,1.0,0.9540828989823777,0.010502977036199873,0.9310737628384688,1.0,0.42857142857142855,0.153052372997471,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9569671576006746,1.0,0.9248883475436459,0.017110157220065456,0.8799999999999998,1.0,0.2,0.26050349127318284
141,0.04135999999999998,0.998,0.0,0.19726143018019182,0.03080000000000002,0.056,0.0,0.011598733217248252,0.9278400000000001,0.982,0.002,0.19114641892901826,0.9735787684210955,1.0,0.9547034003474808,0.010489744205577408,0.9031249479196715,1.0,0.5294117647058824,0.1622510652242557,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9566871599098008,1.0,0.9259033698741372,0.01709470477792572,0.8133333333333331,1.0,0.2,0.3104316609045444
142,0.04135999999999998,0.998,0.0,0.19726143018019182,0.030320000000000017,0.056,0.0,0.011615331177686969,0.92832,0.984,0.002,0.19124953674747147,0.9743227105936877,1.0,0.951849094068007,0.010421476097228892,0.9701253132832081,1.0,0.6,0.09453681558148067,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9579060061226221,1.0,0.9212342671538774,0.016983370847717588,0.9333333333333332,1.0,0.2,0.21226745220209295
143,0.04135999999999998,0.998,0.0,0.19726143018019182,0.029280000000000018,0.056,0.0,0.011019537380563337,0.92936,0.984,0.002,0.19143217054185885,0.9748280625693292,1.0,0.9511044924298834,0.010594801297783885,0.8965767691939901,1.0,0.5,0.17407976153907476,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.958736891058227,1.0,0.9200162403572879,0.017268365826018685,0.8044444444444443,1.0,0.2,0.3260977139284699
144,0.04135999999999998,0.998,0.0,0.19726143018019182,0.028480000000000016,0.054,0.0,0.010868865851502594,0.9301599999999998,0.986,0.002,0.19159474237599122,0.9753087988533874,0.999877029021151,0.9561926036237279,0.010129338361708156,0.9110177404295051,1.0,0.5294117647058824,0.16288432606963998,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.9595251071516911,0.9998,0.9283394234673162,0.016506633464528853,0.831111111111111,1.0,0.2,0.30712276594039095
