day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,V,T
107,9.98,499,0,70.21194177400855,8.23,15,0,2.9741478704925806,481.79,498,1,69.0842400423007,0.03,20
108,9.98,499,0,70.21194177400855,7.91,15,0,2.9270421516568152,482.11,498,1,69.12890827718863,0.03,20
109,9.98,499,0,70.21194177400855,7.66,15,0,2.8717361798864265,482.36,498,1,69.16303677952303,0.03,20
110,9.98,499,0,70.21194177400855,7.4,15,0,2.846227345278324,482.62,498,1,69.19986862835664,0.03,20
111,9.98,499,0,70.21194177400855,7.09,15,0,2.7454093915612536,482.93,498,1,69.24094295875945,0.03,20
112,9.98,499,0,70.21194177400855,6.8,14,0,2.6400183654090306,483.22,498,1,69.27905509421643,0.03,20
113,9.98,499,0,70.21194177400855,6.52,13,0,2.5955673169790257,483.5,499,1,69.31810730249349,0.03,20
114,9.98,499,0,70.21194177400855,6.3,11,0,2.4308621740219887,483.72,499,1,69.34412503426428,0.03,20
115,9.98,499,0,70.21194177400855,6.1,11,0,2.4308621740219887,483.92,499,1,69.37319367017781,0.03,20
116,9.98,499,0,70.21194177400855,5.89,11,0,2.373655919513699,484.13,499,1,69.40172253560492,0.03,20
117,9.98,499,0,70.21194177400855,5.67,10,0,2.278822130625886,484.35,499,1,69.43049354817688,0.03,20
118,9.98,499,0,70.21194177400855,5.43,10,0,2.216809063551126,484.59,499,1,69.46332438303996,0.03,20
119,9.98,499,0,70.21194177400855,5.22,10,0,2.1861825036794027,484.8,499,1,69.49282355216633,0.03,20
120,9.98,499,0,70.21194177400855,5.01,9,0,2.1201057720897993,485.01,500,1,69.52123358508477,0.03,20
121,9.98,499,0,70.21194177400855,4.86,9,0,2.132101917324448,485.16,500,1,69.54334742962243,0.03,20
122,9.98,499,0,70.21194177400855,4.69,9,0,2.0680103158994805,485.33,500,1,69.56605102020278,0.03,20
123,9.98,499,0,70.21194177400855,4.51,9,0,2.086488519842451,485.51,500,1,69.59268146243048,0.03,20
124,9.98,499,0,70.21194177400855,4.31,9,0,2.0135651080718606,485.71,500,1,69.61949903916751,0.03,20
125,9.98,499,0,70.21194177400855,4.16,9,0,1.9525688854750438,485.86,500,1,69.6394785283245,0.03,20
126,9.98,499,0,70.21194177400855,4.04,9,0,1.9432348329941027,485.98,500,1,69.65658619254894,0.03,20
127,9.98,499,0,70.21194177400855,3.79,9,0,1.881837700577053,486.23,500,1,69.69107228013898,0.03,20
128,9.98,499,0,70.21194177400855,3.61,8,0,1.7916472867168916,486.41,500,1,69.71472823825201,0.03,20
129,9.98,499,0,70.21194177400855,3.46,8,0,1.7547626389890796,486.56,500,1,69.73547710940801,0.03,20
130,9.98,499,0,70.21194177400855,3.33,8,0,1.746887564102556,486.69,500,1,69.75406942982038,0.03,20
131,9.98,499,0,70.21194177400855,3.21,8,0,1.647127895164885,486.81,500,1,69.76898315226481,0.03,20
132,9.98,499,0,70.21194177400855,3.13,7,0,1.6246522549441005,486.89,500,1,69.78001435970334,0.03,20
133,9.98,499,0,70.21194177400855,3.04,7,0,1.607557906963984,486.98,500,1,69.79261921557104,0.03,20
134,9.98,499,0,70.21194177400855,2.92,7,0,1.5997474548165154,487.1,500,1,69.80977037925307,0.03,20
135,9.98,499,0,70.21194177400855,2.85,7,0,1.5333003949031323,487.17,500,1,69.81838706040959,0.03,20
136,9.98,499,0,70.21194177400855,2.72,7,0,1.5047399855930004,487.3,500,1,69.8365335203675,0.03,20
137,9.98,499,0,70.21194177400855,2.59,7,0,1.4570968784302962,487.43,500,1,69.8542862903295,0.03,20
138,9.98,499,0,70.21194177400855,2.53,7,0,1.4456832294800963,487.49,500,1,69.86270735369392,0.03,20
139,9.98,499,0,70.21194177400855,2.44,7,0,1.416497316080989,487.58,500,1,69.87509491148394,0.03,20
140,9.98,499,0,70.21194177400855,2.36,7,0,1.3745155253007981,487.66,500,1,69.88579717270633,0.03,20
141,9.98,499,0,70.21194177400855,2.25,6,0,1.3055824196677337,487.77,500,1,69.90034103470224,0.03,20
142,9.98,499,0,70.21194177400855,2.12,5,0,1.2892719737209146,487.9,500,1,69.91878405433238,0.03,20
143,9.98,499,0,70.21194177400855,2.06,5,0,1.3012814197295424,487.96,500,1,69.92765670117349,0.03,20
144,9.98,499,0,70.21194177400855,1.88,5,0,1.2332104770914332,488.14,500,1,69.95236763236636,0.03,20
145,9.98,499,0,70.21194177400855,1.77,5,0,1.2048303455740819,488.25,500,1,69.96772343897094,0.03,20
146,9.98,499,0,70.21194177400855,1.7,5,0,1.1503183573395337,488.32,500,1,69.97689084637337,0.03,20
147,9.98,499,0,70.21194177400855,1.6,5,0,1.1191627462193567,488.42,500,1,69.99079015892525,0.03,20
148,9.98,499,0,70.21194177400855,1.53,5,0,1.1322187032191229,488.49,500,1,70.00108152122661,0.03,20
149,9.98,499,0,70.21194177400855,1.46,5,0,1.1048104184003968,488.56,500,1,70.01072356533258,0.03,20
150,9.98,499,0,70.21194177400855,1.43,5,0,1.0941072648834334,488.59,500,1,70.01487504289877,0.03,20
151,9.98,499,0,70.21194177400855,1.35,5,0,1.0480862791225007,488.67,500,1,70.02568864857433,0.03,20
152,9.98,499,0,70.21194177400855,1.27,4,0,1.0333333333333332,488.75,500,1,70.03698517875604,0.03,20
153,9.98,499,0,70.21194177400855,1.22,4,0,1.0207939077111512,488.8,500,1,70.04399771687518,0.03,20
154,9.98,499,0,70.21194177400855,1.11,4,0,1.003981970943601,488.91,500,1,70.05958430889633,0.03,20
155,9.98,499,0,70.21194177400855,1.06,4,0,0.9621104747670954,488.96,500,1,70.06619092765862,0.03,20
156,9.98,499,0,70.21194177400855,1.0,4,0,0.9534625892455925,489.02,500,1,70.07470472591548,0.03,20
157,9.98,499,0,70.21194177400855,0.95,4,0,0.9142530206997324,489.07,500,1,70.08137477896027,0.03,20
158,9.98,499,0,70.21194177400855,0.89,4,0,0.9089343299499784,489.13,500,1,70.0899357319515,0.03,20
159,9.98,499,0,70.21194177400855,0.85,4,0,0.8689364217539193,489.17,500,1,70.09518132114677,0.03,20
160,9.98,499,0,70.21194177400855,0.79,3,0,0.8077278269468264,489.23,500,1,70.10307778658164,0.03,20
161,9.98,499,0,70.21194177400855,0.74,3,0,0.7603826787755085,489.28,500,1,70.10973793657591,0.03,20
162,9.98,499,0,70.21194177400855,0.72,3,0,0.7664690127296389,489.3,500,1,70.11267987167427,0.03,20
163,9.98,499,0,70.21194177400855,0.68,3,0,0.7638287395970011,489.34,500,1,70.11840202849966,0.03,20
164,9.98,499,0,70.21194177400855,0.67,3,0,0.7661394761854378,489.35,500,1,70.1198649067827,0.03,20
165,9.98,499,0,70.21194177400855,0.63,3,0,0.7338152686370383,489.39,500,1,70.12526958481824,0.03,20
166,9.98,499,0,70.21194177400855,0.61,3,0,0.7371114795831993,489.41,500,1,70.12817918035171,0.03,20
167,9.98,499,0,70.21194177400855,0.57,2,0,0.7000000000000001,489.45,500,1,70.13354865158789,0.03,20
168,9.98,499,0,70.21194177400855,0.54,2,0,0.6878454136877798,489.48,500,1,70.13774038463619,0.03,20
