,day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std,cluster_mean,cluster_min,cluster_max,cluster_std,centrality_mean,centrality_min,centrality_max,centrality_std,connectivity_mean,connectivity_min,connectivity_max,connectivity_std
33,34,55.0,2,499,156.01780525169414,184.1,0,224,65.69534060934441,260.9,1,302,92.0234873400385,0.9957840557351357,0.9920178799489144,1.0,0.002549738913397262,0.7692597302147597,0.674424750463048,1.0,0.08928136024312303,0.05050066387590525,0.050312112721956063,0.05072614683971482,0.00010461603330441664,0.04998717434869735,0.049811623246492916,0.05021242484969935,0.00013447675258306457,10.3,6,11,1.636391694484477
34,35,54.5,2,499,156.1937898893551,177.4,0,215,63.12984854866815,268.1,1,309,94.37449043276709,0.9962790976795362,0.9928115015974441,1.0,0.0023890183975240876,0.7739678985333881,0.6582355336897365,1.0,0.09590942072260308,0.05048115060814399,0.050379398375796594,0.050600264934328315,7.297876068645856e-05,0.05001202404809615,0.04981963927855708,0.05021242484969935,0.0001264626272940444,10.8,9,11,0.6324555320336758
35,36,54.2,2,499,156.2980059587027,170.4,0,208,60.80606694876571,275.4,1,318,97.02141802486476,0.9966783439523745,0.9929757343550447,1.0,0.002276901274660026,0.7830929414222909,0.6898873417079343,1.0,0.0893929940798892,0.05045827645301315,0.050280023801076185,0.05055970192859915,8.059138254231387e-05,0.05003206412825647,0.049851703406813594,0.05021242484969935,0.00012040365977867252,10.8,9,11,0.6324555320336758
36,37,53.9,2,499,156.4057756819315,162.6,0,197,57.852686483285574,283.5,1,329,99.77558151505139,0.9970137358341556,0.9931353767560664,1.0,0.0023590919980375673,0.7958647129451111,0.7094965426350331,1.0,0.08414766841820022,0.050480372708618625,0.05037730396558677,0.05056534622705097,6.2569709710554e-05,0.05004889779559113,0.04985971943887773,0.05021242484969935,0.00012315621620115246,10.8,9,11,0.6324555320336758
37,38,53.5,1,499,156.54694006733075,157.8,0,188,55.97578841685831,288.7,1,333,101.47364189778544,0.9974129030316886,0.9936102236421726,1.0,0.0021920343719309273,0.8035626777452929,0.7094965426350331,1.0,0.08304840937247782,0.05049483955536939,0.05032942002345023,0.050594953315931716,7.796927663632611e-05,0.05006893787575145,0.049859719438877716,0.05021242484969935,0.00011625242651401686,10.8,9,11,0.6324555320336758
38,39,53.1,1,499,156.68116954148923,150.9,0,181,53.59197701148933,296.0,1,341,104.0245697473011,0.997955865709851,0.9952107279693486,1.0,0.0016472455066054005,0.8218995822800249,0.7584498987830409,1.0,0.07707993861296113,0.05047387914330963,0.050208051377398207,0.05056979470026156,0.00010507603547701902,0.05009619238476949,0.049963927855711375,0.05021242484969935,8.984077182875037e-05,10.9,10,11,0.316227766016838
39,40,52.5,1,499,156.8900889157757,146.4,0,178,52.22217494087694,301.1,1,347,105.89349995789796,0.998434976523113,0.9958492975734355,1.0,0.0013355385181375774,0.8301319067472941,0.7420833333333333,1.0,0.07459057928136577,0.05048784048463598,0.05039560381116241,0.05055355572783165,5.92604001464041e-05,0.05012024048096188,0.050004008016032005,0.05021242484969935,7.368647819980407e-05,10.9,10,11,0.316227766016838
40,41,51.8,0,499,157.13603448392521,142.3,0,176,50.85502269523959,305.9,1,353,107.56026734399236,0.9990257834535594,0.9969667943805874,1.0,0.0011477385708003843,0.8486984426473726,0.7533333333333333,1.0,0.09067794097628026,0.05049123906038955,0.05043105919243841,0.05055090088643427,3.4590232553709104e-05,0.05014989979959915,0.05005210420841679,0.05021242484969935,6.651106401270781e-05,10.9,10,11,0.316227766016838
41,42,51.5,0,499,157.23884874787007,137.5,0,170,49.257261168052956,311.0,1,357,109.37194440176248,0.9993771574313073,0.9980842911877394,1.0,0.0006624597425774811,0.858443493342586,0.7678571428571428,1.0,0.08641037353183903,0.05048383970533219,0.0503827544926757,0.05053451994570797,4.989509652663515e-05,0.05016753507014023,0.050108216432865664,0.05021242484969935,4.2952104309764654e-05,10.9,10,11,0.316227766016838
42,43,51.4,0,499,157.27414140778376,132.6,0,167,47.83118462072858,316.0,1,366,111.20251795710382,0.9994889147613948,0.998722248842038,1.0,0.00047502003660576344,0.858143254881719,0.75,1.0,0.08761102493630973,0.05048957917328985,0.05042462989702778,0.05053366909032497,2.9641881827701436e-05,0.050173146292585125,0.05010821643286568,0.05021242484969935,3.787286496171206e-05,10.9,10,11,0.316227766016838
43,44,51.4,0,499,157.27414140778376,127.4,0,161,45.96423730587847,321.2,1,369,112.99144510389567,0.9994889147613948,0.998722248842038,1.0,0.00047502003660576344,0.858143254881719,0.75,1.0,0.08761102493630973,0.05051954048151138,0.05049378084865926,0.050558764047215494,2.3381425906606053e-05,0.050173146292585125,0.05010821643286568,0.05021242484969935,3.7872864961711616e-05,10.9,10,11,0.316227766016838
44,45,51.2,0,499,157.34307879422101,123.0,0,157,44.349621068154455,325.8,1,372,114.54334453724397,0.9996486566238136,0.9990421455938697,1.0,0.0003749137164094584,0.8608231470187759,0.75,1.0,0.08772903746460935,0.05049009603054373,0.050410156212766885,0.050558764047215494,4.7171712945733035e-05,0.05018116232464925,0.05011623246492979,0.05021242484969935,3.01001737162681e-05,10.9,10,11,0.316227766016838
45,46,51.1,0,499,157.3788422882822,118.2,0,150,42.62445828916122,330.7,1,378,116.20771632440477,0.9997923653928185,0.9993607159980822,1.0,0.0002822332256247486,0.8877265056148707,0.8216173215992972,1.0,0.07243491749915197,0.05051301089849029,0.05047505322923955,0.05057711864577028,2.9650198818674153e-05,0.05018837675350697,0.05012424849699393,0.05021242484969935,2.8277903124273436e-05,10.9,10,11,0.316227766016838
46,47,51.0,0,499,157.4131153649177,114.7,0,146,41.48641009080229,334.3,1,383,117.4980378086753,0.9998562682714678,0.9993614303959132,1.0,0.00021880696385288655,0.8944063007891694,0.8135465802993138,1.0,0.06885104072262743,0.0504943208108604,0.05045674723709377,0.05054042180044277,2.8145393035444084e-05,0.05019158316633262,0.0501402805611222,0.05021242484969935,2.365899117828148e-05,10.9,10,11,0.316227766016838
47,48,51.0,0,499,157.4131153649177,109.5,0,139,39.635141534305696,339.5,1,387,119.29352222331455,0.9998722503715156,0.9993614303959132,1.0,0.00021019793644770632,0.8970138218798722,0.8344067490249372,1.0,0.06567291151111353,0.05049888591825108,0.05041975579521876,0.05053934471016513,3.562277679557328e-05,0.050192384769539036,0.050148296593186314,0.05021242484969935,2.178958774923553e-05,10.9,10,11,0.316227766016838
48,49,51.0,0,499,157.4131153649177,103.3,0,133,37.35430958329232,345.7,1,393,121.41027780033926,0.9999201686011403,0.9995210727969349,1.0,0.00015515035864308501,0.9067648839908625,0.8552669177505607,1.0,0.05890983007712363,0.0504882759644948,0.05043576191163459,0.0505242340752122,2.8780982606990215e-05,0.050194789579158273,0.05015631262525045,0.05021242484969935,1.881824113470708e-05,10.9,10,11,0.316227766016838
49,50,51.0,0,499,157.4131153649177,100.4,0,129,36.19760581401298,348.6,1,395,122.37664991510613,0.9999201686011403,0.9995210727969349,1.0,0.00015515035864308501,0.9067648839908625,0.8552669177505607,1.0,0.05890983007712363,0.050499656487330055,0.05043576191163459,0.050560845113039994,3.075930309088026e-05,0.050194789579158273,0.05015631262525045,0.05021242484969935,1.8818241134707598e-05,10.9,10,11,0.316227766016838
