day,L1_mean,L1_max,L1_min,L1_std,L2_mean,L2_max,L2_min,L2_std
153,21.54516,41,5,4.76460162359301,9.83008,10,0,1.2911366600615897
154,21.5508,42,6,4.777280843376319,9.83772,10,0,1.2632058538342648
155,21.56156,42,6,4.739779423850801,9.84572,10,0,1.2321600587327939
156,21.56272,43,6,4.771458568852379,9.84852,10,0,1.2210951856993366
157,21.55712,49,6,4.753504090420608,9.85412,10,0,1.1986394349677412
158,21.56788,44,5,4.758030880512916,9.85852,10,0,1.1806774197750975
159,21.58728,40,6,4.753567718865728,9.862,10,0,1.166623521285944
160,21.5898,44,6,4.750094577578422,9.86664,10,0,1.1463802501382865
161,21.58556,42,5,4.764886950632308,9.87236,10,0,1.1214447538481067
162,21.58064,40,6,4.7477825190244,9.87516,10,0,1.1092088117967376
163,21.59116,42,6,4.766789144230086,9.87772,10,0,1.098660950355184
164,21.59496,43,6,4.763390619507042,9.88064,10,0,1.0852282244818219
165,21.58504,43,6,4.759243029534051,9.88156,10,0,1.0806936116898669
166,21.60296,42,5,4.765860654227227,9.88492,10,0,1.066190444565396
167,21.60152,44,6,4.762743016208384,9.88984,10,0,1.042990070677326
168,21.58292,42,6,4.767140998432082,9.89332,10,0,1.026947692174483
169,21.59516,41,5,4.753374417940811,9.89704,10,0,1.0086426189673485
170,21.61968,41,5,4.741182958949603,9.9004,10,0,0.9930353894858877
171,21.6166,42,5,4.7509101534223275,9.90252,10,0,0.9820876892870553
172,21.60548,41,6,4.765134020118347,9.9044,10,0,0.9730871060396599
173,21.60172,40,6,4.748026410182621,9.9056,10,0,0.9670191544337671
174,21.60984,46,5,4.783050310963811,9.90932,10,0,0.947508864613908
175,21.6112,44,5,4.749498591375169,9.91172,10,0,0.9349874917154691
176,21.60724,44,6,4.766143957910746,9.91304,10,0,0.9275733793587277
177,21.62148,42,5,4.769108133109933,9.91544,10,0,0.9147694127610226
178,21.62836,42,6,4.737047740444658,9.9176,10,0,0.90401489463238
179,21.61888,42,6,4.749742092745439,9.91984,10,0,0.8908008281566798
180,21.61908,45,7,4.774156643478118,9.92172,10,0,0.88083101451473
181,21.62552,40,6,4.7347250642943735,9.922,10,0,0.8797425520448096
182,21.6154,43,6,4.7712632958302885,9.92252,10,0,0.8763489996016245
183,21.62304,42,6,4.77388026197873,9.9244,10,0,0.8662070494899582
184,21.63104,44,6,4.7406631892488145,9.92812,10,0,0.8442877344076127
