day,s_mean,s_max,s_min,s_std,i_mean,i_max,i_min,i_std,r_mean,r_max,r_min,r_std,edgecount_mean,edgecount_max,edgecount_min,edgecount_std,suscedgecount_mean,suscedgecount_max,suscedgecount_min,suscedgecount_std,edgecount1_mean,edgecount1_max,edgecount1_min,edgecount1_std,suscedgecount1_mean,suscedgecount1_max,suscedgecount1_min,suscedgecount1_std,edgecount2_mean,edgecount2_max,edgecount2_min,edgecount2_std,suscedgecount2_mean,suscedgecount2_max,suscedgecount2_min,suscedgecount2_std
77,0.02772000000000001,0.998,0.0,0.14009093839505882,0.22084000000000004,0.292,0.0,0.04065000439290084,0.7514399999999997,0.824,0.002,0.11154429155986352,0.8587462109150081,1.0,0.810552451893234,0.027510493230137774,0.725880489574353,1.0,0.45751633986928103,0.13966733206773985,0.9991552000000002,1.0,0.99616,0.0007724496945511874,0.9426176582348952,1.0,0.8125,0.034628699699280924,0.7689200800408119,1.0,0.6914807302231237,0.04451638621801751,0.5222098214285716,1.0,0.1,0.26814334918341803
78,0.027400000000000008,0.998,0.0,0.14013419224705545,0.21532000000000007,0.29,0.0,0.039860184215759535,0.7572800000000002,0.826,0.002,0.11224663805701283,0.8620648102406157,1.0,0.8134078212290503,0.027166913232316212,0.7451857885717309,1.0,0.4568452380952381,0.14619773398861802,0.9992448,1.0,0.99616,0.0007504943676793478,0.9469183670363187,1.0,0.8125,0.03691309092582444,0.774307066713676,1.0,0.6961460446247465,0.043961148083528405,0.5487234042553192,1.0,0.1,0.27368553059620143
79,0.027080000000000007,0.998,0.0,0.14017377553215427,0.20844000000000004,0.274,0.0,0.03903800346182826,0.7644799999999996,0.834,0.002,0.11319447595954098,0.8666246541145999,0.9998769230769231,0.8228429546865301,0.026382631538474116,0.7245187065765422,1.0,0.45751633986928103,0.13973617754746412,0.999264,1.0,0.99648,0.0007292825661049479,0.9446565667901958,1.0,0.7833333333333333,0.0401037177526998,0.7817698331547258,0.9998,0.7113590263691684,0.04271017836564876,0.5132446808510638,1.0,0.1,0.2688577462950077
80,0.026480000000000007,0.998,0.0,0.14025665104823126,0.20244000000000004,0.268,0.0,0.03768026604178362,0.7710799999999999,0.842,0.002,0.11381345998373563,0.8702279245797115,1.0,0.8237119801365611,0.025399071114901937,0.7420448694207555,1.0,0.5,0.14209329991847772,0.9993984,1.0,0.99744,0.0006388234082583265,0.9488048490634782,1.0,0.7166666666666667,0.04699466220847497,0.7875899333066094,1.0,0.7127789046653144,0.041149701155183856,0.529164133738602,1.0,0.1,0.2955541363963877
81,0.026280000000000005,0.998,0.0,0.14027902806294928,0.19720000000000007,0.26,0.0,0.037092273247859554,0.7765199999999999,0.844,0.002,0.1145951596370671,0.8735739035936408,1.0,0.8315332091868405,0.025062129493150405,0.7357373703651697,1.0,0.3833333333333333,0.15216158610424865,0.9994431999999999,1.0,0.99744,0.0005775579836603725,0.95100751957067,1.0,0.7166666666666667,0.047608169447704976,0.7930507567655829,1.0,0.7255578093306289,0.0405895139766707,0.541405775075988,1.0,0.1,0.28037630393293705
82,0.026040000000000004,0.998,0.0,0.14030781903241404,0.19168000000000002,0.248,0.0,0.03651415157587702,0.7822800000000002,0.852,0.002,0.11538401544585003,0.8766641660585488,1.0,0.8353817504655493,0.02480020849644183,0.7611084929488335,1.0,0.47058823529411764,0.15096013618206477,0.9994752,1.0,0.99744,0.0005360864992647022,0.951400114747123,1.0,0.7166666666666667,0.0477099592682449,0.7980942126259299,1.0,0.7318458417849899,0.0402071470757061,0.5646580547112462,1.0,0.1,0.30086986575122954
83,0.025680000000000005,0.998,0.0,0.14035777026395577,0.18584,0.236,0.0,0.03535670129594406,0.7884799999999998,0.854,0.002,0.11604964454921866,0.8802897071475718,1.0,0.8433271260086903,0.024074123129660424,0.7244008026160533,1.0,0.16666666666666666,0.17595707481627848,0.9995328000000002,1.0,0.99808,0.00046713647876816676,0.9481112848345531,1.0,0.5,0.074635577683846,0.8040053742661312,1.0,0.7446247464503043,0.03904354443530251,0.5211170212765958,1.0,0.1,0.3051887372694997
84,0.02532,0.998,0.0,0.14040908744356503,0.18036000000000002,0.236,0.0,0.035203640813566604,0.7943200000000001,0.862,0.002,0.11696387720757451,0.8844582757169955,1.0,0.8448168839230292,0.02405074653298648,0.7849802873270781,1.0,0.47058823529411764,0.1489625750194392,0.9995968000000002,1.0,0.99808,0.00046534358603207655,0.9527977253344252,1.0,0.5,0.07650477984037761,0.8108039132976578,1.0,0.7466531440162272,0.03902841578561994,0.6211666666666666,1.0,0.1,0.28673792278601096
85,0.024960000000000003,0.998,0.0,0.14045770080093764,0.17495999999999995,0.228,0.0,0.034317223616351804,0.8000799999999998,0.866,0.002,0.11764280770230551,0.8872195570035146,1.0,0.8513966480446927,0.02337514066172507,0.7213201772286515,1.0,0.47058823529411764,0.16297992250817664,0.9996416,1.0,0.99808,0.0004367568790855478,0.9638034707401134,1.0,0.8677655677655678,0.033264309545369276,0.8153001209729956,1.0,0.7574036511156187,0.03794364629659373,0.49826530612244885,1.0,0.1,0.30799436874903013
86,0.024800000000000003,0.998,0.0,0.14048080702664384,0.16956,0.22,0.0,0.033393852544369634,0.8056399999999999,0.87,0.002,0.11838414813906564,0.8911313952425605,1.0,0.8541381456129433,0.022721741410786294,0.8297017141393568,1.0,0.5264423076923077,0.13786060207548562,0.99968,1.0,0.99808,0.00042883801232672814,0.967664193350836,1.0,0.8677655677655678,0.03351539960289949,0.8216946428371328,1.0,0.7623217922606924,0.03687524135729901,0.6952551020408162,1.0,0.1,0.26425679385169787
