day_lags,m,ped
16,15,0.1
18,15,0.1
11,15,0.1
11,15,0.1
12,15,0.1
16,15,0.1
13,15,0.1
69,20,0.001
38,20,0.001
21,20,0.001
68,20,0.001
68,20,0.001
46,20,0.001
93,20,0.001
35,20,0.001
106,20,0.001
14,20,0.001
51,20,0.001
49,20,0.001
22,20,0.001
21,20,0.001
124,20,0.001
44,20,0.001
74,20,0.001
44,20,0.001
66,20,0.001
128,20,0.001
26,20,0.001
37,20,0.001
28,20,0.001
144,20,0.001
59,20,0.001
39,20,0.001
148,20,0.001
97,20,0.001
63,20,0.001
70,20,0.001
26,20,0.001
17,20,0.001
68,20,0.001
22,20,0.001
34,20,0.001
22,20,0.001
49,20,0.001
29,20,0.001
41,20,0.001
63,20,0.001
68,20,0.001
51,20,0.001
19,20,0.001
37,20,0.001
41,20,0.001
100,20,0.001
43,20,0.001
91,20,0.001
60,20,0.001
71,20,0.001
19,20,0.012
19,20,0.012
13,20,0.012
18,20,0.012
17,20,0.012
11,20,0.012
11,20,0.012
28,20,0.012
0,20,0.012
27,20,0.012
19,20,0.012
41,20,0.012
16,20,0.012
14,20,0.012
13,20,0.012
31,20,0.012
21,20,0.012
29,20,0.012
16,20,0.012
26,20,0.012
22,20,0.012
13,20,0.012
35,20,0.012
11,20,0.012
13,20,0.012
13,20,0.012
29,20,0.012
35,20,0.012
9,20,0.012
15,20,0.012
19,20,0.012
14,20,0.012
25,20,0.012
31,20,0.012
19,20,0.012
20,20,0.012
20,20,0.012
36,20,0.012
22,20,0.012
16,20,0.012
24,20,0.012
12,20,0.012
19,20,0.012
11,20,0.012
16,20,0.012
42,20,0.012
15,20,0.012
26,20,0.012
16,20,0.012
19,20,0.012
14,20,0.023
16,20,0.023
10,20,0.023
0,20,0.023
10,20,0.023
13,20,0.023
19,20,0.023
10,20,0.023
16,20,0.023
11,20,0.023
19,20,0.023
12,20,0.023
11,20,0.023
12,20,0.023
22,20,0.023
14,20,0.023
12,20,0.023
17,20,0.023
13,20,0.023
12,20,0.023
10,20,0.023
22,20,0.023
14,20,0.023
13,20,0.023
12,20,0.023
17,20,0.023
11,20,0.023
11,20,0.023
9,20,0.023
13,20,0.023
9,20,0.023
28,20,0.023
16,20,0.023
11,20,0.023
12,20,0.023
16,20,0.023
8,20,0.023
8,20,0.023
25,20,0.023
13,20,0.023
13,20,0.023
14,20,0.023
11,20,0.023
14,20,0.023
12,20,0.023
13,20,0.023
8,20,0.023
16,20,0.023
10,20,0.023
11,20,0.023
13,20,0.034
18,20,0.034
13,20,0.034
10,20,0.034
10,20,0.034
19,20,0.034
15,20,0.034
14,20,0.034
16,20,0.034
11,20,0.034
14,20,0.034
8,20,0.034
9,20,0.034
10,20,0.034
11,20,0.034
15,20,0.034
14,20,0.034
15,20,0.034
12,20,0.034
12,20,0.034
12,20,0.034
14,20,0.034
7,20,0.034
11,20,0.034
10,20,0.034
14,20,0.034
11,20,0.034
10,20,0.034
12,20,0.034
14,20,0.034
14,20,0.034
10,20,0.034
12,20,0.034
11,20,0.034
14,20,0.034
14,20,0.034
8,20,0.034
10,20,0.034
22,20,0.034
13,20,0.034
13,20,0.034
7,20,0.034
11,20,0.034
18,20,0.034
13,20,0.034
0,20,0.034
15,20,0.034
17,20,0.034
15,20,0.034
21,20,0.034
13,20,0.045
12,20,0.045
12,20,0.045
16,20,0.045
0,20,0.045
13,20,0.045
11,20,0.045
12,20,0.045
16,20,0.045
0,20,0.045
12,20,0.045
10,20,0.045
10,20,0.045
10,20,0.045
11,20,0.045
9,20,0.045
14,20,0.045
9,20,0.045
12,20,0.045
13,20,0.045
10,20,0.045
18,20,0.045
19,20,0.045
11,20,0.045
8,20,0.045
16,20,0.045
10,20,0.045
12,20,0.045
12,20,0.045
11,20,0.045
14,20,0.045
11,20,0.045
12,20,0.045
9,20,0.045
11,20,0.045
13,20,0.045
14,20,0.045
15,20,0.045
14,20,0.045
0,20,0.045
0,20,0.045
19,20,0.045
14,20,0.045
6,20,0.045
