day,s_mean,s_min,s_max,s_std,i_mean,i_min,i_max,i_std,r_mean,r_min,r_max,r_std,edgecount_mean,edgecount_min,edgecount_max,edgecount_std,suscedgecount_mean,suscedgecount_min,suscedgecount_max,suscedgecount_std
50,16.195,0,499,85.12820349420487,109.79,0,143,22.057164198108328,374.015,1,408,66.6117135110967,0.9995674486803519,0.9967416096448355,1.0,0.00048467464359392266,0.8921025016797032,0.7143612121944223,1.0,0.06052556380931008
51,16.105,0,499,85.14365026767717,105.505,0,135,21.19590306008837,378.39,1,412,67.31347128982004,0.9996179537308569,0.9969045291625936,1.0,0.00045309930878831327,0.8976356730398886,0.7143612121944223,1.0,0.05779793167012386
52,16.04,0,499,85.15453525427674,101.26,0,132,20.396137184778436,382.7,1,420,68.02061467011677,0.9996603128054741,0.9977191267513849,1.0,0.00041537373072207613,0.905384959851321,0.7143612121944223,1.0,0.05813081838691546
53,15.995,0,499,85.16189120473922,97.33,0,131,19.86515092078406,386.675,1,425,68.72587287925178,0.9996945259042033,0.9983708048224177,1.0,0.00036954731157393155,0.9103689299963552,0.7143612121944223,1.0,0.057075998743686615
54,15.94,0,499,85.17122216703913,93.415,0,125,19.209052906581288,390.645,1,433,69.40536360748668,0.999727109807755,0.9983708048224177,1.0,0.000342576104653447,0.9150023730114907,0.7143612121944223,1.0,0.056938423545109126
55,15.86,0,499,85.18481474603665,89.865,0,116,18.44608536591526,394.275,1,435,69.97637343558166,0.9997556207233625,0.9983708048224177,1.0,0.00032501931337376906,0.9174311446741179,0.7705128205128204,1.0,0.05629294872012764
56,15.78,0,499,85.19868354846781,86.31,0,112,17.816876985814268,397.91,1,439,70.58835227845265,0.9997939068100358,0.9983708048224177,1.0,0.00030357881377625524,0.925416055240631,0.7705128205128204,1.0,0.05497872318560625
57,15.705,0,499,85.2114011705431,82.94,0,109,17.276538830733696,401.355,1,443,71.18698553491176,0.999820788530466,0.998533724340176,1.0,0.00028194844750349267,0.9292906721302885,0.7705128205128204,1.0,0.05324849428089191
58,15.68,0,499,85.2154679615121,79.77,0,103,16.593790083845636,404.55,1,445,71.69286459732832,0.9998346366894754,0.998533724340176,1.0,0.00026711926018317,0.9325742112748912,0.7705128205128204,1.0,0.05376938395159356
59,15.64,0,499,85.22250157012142,76.585,0,102,16.02205687584036,407.775,1,446,72.23812086099443,0.9998590746171391,0.998533724340176,1.0,0.00024752598743265204,0.9404872383963234,0.7828453281129075,1.0,0.051029629523979894
60,15.605,0,499,85.22833048102558,73.65,0,101,15.564019193875879,410.745,1,447,72.75027828090936,0.9998704789833822,0.9988595633756924,1.0,0.00022352575260458198,0.9414183377774534,0.7828453281129075,1.0,0.05092867960572533
61,15.565,0,499,85.23520974280227,70.77,0,97,14.929216574813577,413.665,1,447,73.21602081182502,0.9998884001303356,0.9988595633756924,1.0,0.00020240692747982984,0.946917256019511,0.8263367352302913,1.0,0.047464846666514626
